Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Residencia del viajero;Periodo;Total
Total Nacional;13 Madrid, Comunidad de;;Total ;2019;8.225.000
Total Nacional;13 Madrid, Comunidad de;;Total ;2018;7.257.000
Total Nacional;13 Madrid, Comunidad de;;Residentes en el Extranjero;2022;5.205.000
Total Nacional;13 Madrid, Comunidad de;;Residentes en el Extranjero;2021;2.182.000
Total Nacional;13 Madrid, Comunidad de;;Residentes en el Extranjero;2020;1.479.000
Total Nacional;13 Madrid, Comunidad de;;Residentes en el Extranjero;2019;5.976.000
Total Nacional;13 Madrid, Comunidad de;;Residentes en el Extranjero;2018;5.158.000
Total Nacional;13 Madrid, Comunidad de;;Residentes en España;2022;2.364.000
Total Nacional;13 Madrid, Comunidad de;;Residentes en España;2021;1.679.000
Total Nacional;13 Madrid, Comunidad de;;Residentes en España;2020;1.188.000
Total Nacional;13 Madrid, Comunidad de;;Residentes en España;2019;2.249.000
Total Nacional;13 Madrid, Comunidad de;;Residentes en España;2018;2.099.000
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total ;2022;7.571.000
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total ;2021;3.861.000
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total ;2020;2.667.000
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total ;2019;8.225.000
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total ;2018;7.257.000
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Residentes en el Extranjero;2022;5.206.000
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Residentes en el Extranjero;2021;2.182.000
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Residentes en el Extranjero;2020;1.479.000
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Residentes en el Extranjero;2019;5.976.000
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Residentes en el Extranjero;2018;5.158.000
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Residentes en España;2022;2.365.000
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Residentes en España;2021;1.679.000
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Residentes en España;2020;1.188.000
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Residentes en España;2019;2.249.000
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Residentes en España;2018;2.099.000
Total Nacional;12 Galicia;;Total ;2022;3.722.000
Total Nacional;12 Galicia;;Total ;2021;2.428.000
Total Nacional;12 Galicia;;Total ;2020;1.442.000
Total Nacional;12 Galicia;;Total ;2019;2.408.000
Total Nacional;12 Galicia;;Total ;2018;1.724.000
Total Nacional;12 Galicia;;Residentes en el Extranjero;2022;895.000
Total Nacional;12 Galicia;;Residentes en el Extranjero;2021;306.000
Total Nacional;12 Galicia;;Residentes en el Extranjero;2020;142.000
Total Nacional;12 Galicia;;Residentes en el Extranjero;2019;655.000
Total Nacional;12 Galicia;;Residentes en el Extranjero;2018;499.000
Total Nacional;12 Galicia;;Residentes en España;2022;2.829.000
Total Nacional;12 Galicia;;Residentes en España;2021;2.122.000
Total Nacional;12 Galicia;;Residentes en España;2020;1.300.000
Total Nacional;12 Galicia;;Residentes en España;2019;1.752.000
Total Nacional;12 Galicia;;Residentes en España;2018;1.225.000
Total Nacional;12 Galicia;36 Pontevedra;Total ;2022;1.569.000
Total Nacional;12 Galicia;36 Pontevedra;Total ;2021;1.011.000
Total Nacional;12 Galicia;36 Pontevedra;Total ;2020;613.000
Total Nacional;12 Galicia;36 Pontevedra;Total ;2019;964.000
Total Nacional;12 Galicia;36 Pontevedra;Total ;2018;685.000
Total Nacional;12 Galicia;36 Pontevedra;Residentes en el Extranjero;2022;384.000
Total Nacional;12 Galicia;36 Pontevedra;Residentes en el Extranjero;2021;127.000
Total Nacional;12 Galicia;36 Pontevedra;Residentes en el Extranjero;2020;55.000
Total Nacional;12 Galicia;36 Pontevedra;Residentes en el Extranjero;2019;255.000
Total Nacional;12 Galicia;36 Pontevedra;Residentes en el Extranjero;2018;189.000
Total Nacional;12 Galicia;36 Pontevedra;Residentes en España;2022;1.186.000
Total Nacional;12 Galicia;36 Pontevedra;Residentes en España;2021;884.000
Total Nacional;12 Galicia;36 Pontevedra;Residentes en España;2020;558.000
Total Nacional;12 Galicia;36 Pontevedra;Residentes en España;2019;709.000
Total Nacional;12 Galicia;36 Pontevedra;Residentes en España;2018;496.000
Total Nacional;12 Galicia;32 Ourense;Total ;2022;190.000
Total Nacional;12 Galicia;32 Ourense;Total ;2021;123.000
Total Nacional;12 Galicia;32 Ourense;Total ;2020;73.000
Total Nacional;12 Galicia;32 Ourense;Total ;2019;114.000
Total Nacional;12 Galicia;32 Ourense;Total ;2018;77.000
Total Nacional;12 Galicia;32 Ourense;Residentes en el Extranjero;2022;30.000
Total Nacional;12 Galicia;32 Ourense;Residentes en el Extranjero;2021;11.000
Total Nacional;12 Galicia;32 Ourense;Residentes en el Extranjero;2020;9.000
Total Nacional;12 Galicia;32 Ourense;Residentes en el Extranjero;2019;21.000
Total Nacional;12 Galicia;32 Ourense;Residentes en el Extranjero;2018;16.000
Total Nacional;12 Galicia;32 Ourense;Residentes en España;2022;160.000
Total Nacional;12 Galicia;32 Ourense;Residentes en España;2021;112.000
Total Nacional;12 Galicia;32 Ourense;Residentes en España;2020;65.000
Total Nacional;12 Galicia;32 Ourense;Residentes en España;2019;93.000
Total Nacional;12 Galicia;32 Ourense;Residentes en España;2018;61.000
Total Nacional;12 Galicia;27 Lugo;Total ;2022;497.000
Total Nacional;12 Galicia;27 Lugo;Total ;2021;350.000
Total Nacional;12 Galicia;27 Lugo;Total ;2020;177.000
Total Nacional;12 Galicia;27 Lugo;Total ;2019;296.000
Total Nacional;12 Galicia;27 Lugo;Total ;2018;206.000
Total Nacional;12 Galicia;27 Lugo;Residentes en el Extranjero;2022;64.000
Total Nacional;12 Galicia;27 Lugo;Residentes en el Extranjero;2021;24.000
Total Nacional;12 Galicia;27 Lugo;Residentes en el Extranjero;2020;10.000
Total Nacional;12 Galicia;27 Lugo;Residentes en el Extranjero;2019;45.000
Total Nacional;12 Galicia;27 Lugo;Residentes en el Extranjero;2018;33.000
Total Nacional;12 Galicia;27 Lugo;Residentes en España;2022;433.000
Total Nacional;12 Galicia;27 Lugo;Residentes en España;2021;325.000
Total Nacional;12 Galicia;27 Lugo;Residentes en España;2020;167.000
Total Nacional;12 Galicia;27 Lugo;Residentes en España;2019;251.000
Total Nacional;12 Galicia;27 Lugo;Residentes en España;2018;173.000
Total Nacional;12 Galicia;15 Coruña, A;Total ;2022;1.465.000
Total Nacional;12 Galicia;15 Coruña, A;Total ;2021;944.000
Total Nacional;12 Galicia;15 Coruña, A;Total ;2020;579.000
Total Nacional;12 Galicia;15 Coruña, A;Total ;2019;1.034.000
Total Nacional;12 Galicia;15 Coruña, A;Total ;2018;757.000
Total Nacional;12 Galicia;15 Coruña, A;Residentes en el Extranjero;2022;415.000
Total Nacional;12 Galicia;15 Coruña, A;Residentes en el Extranjero;2021;144.000
Total Nacional;12 Galicia;15 Coruña, A;Residentes en el Extranjero;2020;68.000
Total Nacional;12 Galicia;15 Coruña, A;Residentes en el Extranjero;2019;334.000
Total Nacional;12 Galicia;15 Coruña, A;Residentes en el Extranjero;2018;261.000
Total Nacional;12 Galicia;15 Coruña, A;Residentes en España;2022;1.050.000
Total Nacional;12 Galicia;15 Coruña, A;Residentes en España;2021;801.000
Total Nacional;12 Galicia;15 Coruña, A;Residentes en España;2020;510.000
Total Nacional;12 Galicia;15 Coruña, A;Residentes en España;2019;700.000
Total Nacional;12 Galicia;15 Coruña, A;Residentes en España;2018;496.000
Total Nacional;11 Extremadura;;Total ;2022;573.000
Total Nacional;11 Extremadura;;Total ;2021;342.000
Total Nacional;11 Extremadura;;Total ;2020;218.000
Total Nacional;11 Extremadura;;Total ;2019;390.000
Total Nacional;11 Extremadura;;Total ;2018;321.000
Total Nacional;11 Extremadura;;Residentes en el Extranjero;2022;81.000
Total Nacional;11 Extremadura;;Residentes en el Extranjero;2021;29.000
Total Nacional;11 Extremadura;;Residentes en el Extranjero;2020;17.000
Total Nacional;11 Extremadura;;Residentes en el Extranjero;2019;61.000
Total Nacional;11 Extremadura;;Residentes en el Extranjero;2018;52.000
Total Nacional;11 Extremadura;;Residentes en España;2022;493.000
Total Nacional;11 Extremadura;;Residentes en España;2021;313.000
